Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 37.60      1.81     1.81 40457535     0.00     0.00  camlImp__evo_nd_tkn_2219
 13.02      2.43     0.63  7543043     0.00     0.00  camlImp__evo_tkn_2218
 11.04      2.96     0.53 28165412     0.00     0.00  camlHashtbl__find_1621
 10.94      3.49     0.53 17286400     0.00     0.00  camlImp__f0_2266
  8.75      3.91     0.42  8259273     0.00     0.00  camlImp__evo_nd_tkn_agl_2220
  3.54      4.08     0.17 65183747     0.00     0.00  caml_apply2
  2.71      4.21     0.13 28165412     0.00     0.00  camlHashtbl__key_index_1593
  2.29      4.32     0.11                             camlImp__fun_3166
  1.04      4.37     0.05 37018322     0.00     0.00  camlTypes__equal_1446
  1.04      4.42     0.05 28165412     0.00     0.00  camlHashtbl__hash_1706
  0.94      4.46     0.05 28165412     0.00     0.00  camlTypes__hash_1444
  0.94      4.51     0.05 16518546     0.00     0.00  camlImp__mrg_agl_2213
  0.83      4.55     0.04  7665639     0.00     0.00  compare_val
  0.83      4.59     0.04  7665636     0.00     0.00  caml_equal
  0.63      4.62     0.03  8259273     0.00     0.00  camlList__nth_aux_1222
  0.63      4.65     0.03        4     0.01     0.01  caml_update_dummy
  0.42      4.67     0.02   239970     0.00     0.00  caml_oldify_one
  0.42      4.69     0.02        3     0.01     0.01  caml_apply3
  0.42      4.71     0.02        1     0.02     0.03  camlHashtbl__Make_1702
  0.42      4.73     0.02                             caml_allocN
  0.21      4.74     0.01  8259273     0.00     0.00  camlList__nth_1219
  0.21      4.75     0.01     2406     0.00     0.00  caml_oldify_local_roots
  0.21      4.76     0.01        1     0.01     0.01  camlHashtbl__MakeSeeded_1584
  0.21      4.77     0.01                             camlHashtbl__find_rec_1615
  0.21      4.78     0.01                             camlImp__list_of_tkn_2207
  0.21      4.79     0.01                             camlList__tl_1216
  0.21      4.80     0.01                             caml_execute_signal
  0.10      4.80     0.01                             camlTypes__compare_1441
  0.00      4.80     0.00   731189     0.00     0.00  caml_page_table_lookup
  0.00      4.80     0.00   308988     0.00     0.00  caml_darken
  0.00      4.80     0.00   189353     0.00     0.00  allocate_block
  0.00      4.80     0.00   189353     0.00     0.00  caml_fl_allocate
  0.00      4.80     0.00   189352     0.00     0.00  caml_alloc_shr
  0.00      4.80     0.00   184841     0.00     0.00  caml_fl_merge_block
  0.00      4.80     0.00    27958     0.00     0.00  caml_gc_message
  0.00      4.80     0.00    19618     0.00     0.00  invert_pointer_at
  0.00      4.80     0.00     7328     0.00     0.00  invert_root
  0.00      4.80     0.00     7200     0.00     0.00  compact_allocate
  0.00      4.80     0.00     4842     0.00     0.00  caml_process_pending_signals
  0.00      4.80     0.00     4810     0.00     0.00  caml_garbage_collection
  0.00      4.80     0.00     4810     0.00     0.00  caml_gc_dispatch
  0.00      4.80     0.00     2691     0.00     0.00  caml_page_table_modify
  0.00      4.80     0.00     2489     0.00     0.00  caml_major_collection_slice
  0.00      4.80     0.00     2406     0.00     0.00  caml_empty_minor_heap
  0.00      4.80     0.00     2406     0.00     0.00  caml_final_empty_young
  0.00      4.80     0.00     2406     0.00     0.00  caml_final_oldify_young_roots
  0.00      4.80     0.00     2406     0.00     0.00  caml_final_update_minor_roots
  0.00      4.80     0.00     2406     0.00     0.00  caml_oldify_mopup
  0.00      4.80     0.00     2406     0.00     0.00  caml_scan_global_young_roots
  0.00      4.80     0.00     2405     0.00     0.00  caml_final_do_calls
  0.00      4.80     0.00     1432     0.00     0.00  sweep_slice
  0.00      4.80     0.00      891     0.00     0.00  mark_slice
  0.00      4.80     0.00      800     0.00     0.00  writeblock
  0.00      4.80     0.00      445     0.00     0.00  caml_darken_all_roots_slice
  0.00      4.80     0.00      289     0.00     0.00  camlChar__chr_1206
  0.00      4.80     0.00      256     0.00     0.00  camlChar__lowercase_1217
  0.00      4.80     0.00      170     0.00     0.00  generic_final_update
  0.00      4.80     0.00      105     0.00     0.00  caml_stat_alloc
  0.00      4.80     0.00       88     0.00     0.00  caml_fl_init_merge
  0.00      4.80     0.00       87     0.00     0.00  caml_do_local_roots
  0.00      4.80     0.00       87     0.00     0.00  caml_do_roots
  0.00      4.80     0.00       87     0.00     0.00  caml_final_do_roots
  0.00      4.80     0.00       87     0.00     0.00  caml_scan_global_roots
  0.00      4.80     0.00       85     0.00     0.00  caml_darken_all_roots_start
  0.00      4.80     0.00       85     0.00     0.00  caml_final_update_clean_phase
  0.00      4.80     0.00       85     0.00     0.00  caml_final_update_mark_phase
