Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 17.83      0.51     0.51        1     0.51     2.41  camlVmr0__run_2555
 10.14      0.80     0.29 54120529     0.00     0.00  caml_modify
  6.12      0.98     0.18 37992672     0.00     0.00  camlVmr0__fun_4975
  5.77      1.14     0.17 12367400     0.00     0.00  camlVmr0__get_ptn_2466
  5.59      1.30     0.16 21699951     0.00     0.00  caml_oldify_one
  5.59      1.46     0.16  1583028     0.00     0.00  camlArray__fold_left_1304
  5.24      1.61     0.15  8805866     0.00     0.00  caml_make_vect
  4.55      1.74     0.13 66091410     0.00     0.00  caml_apply2
  4.37      1.87     0.13 21271922     0.00     0.00  camlVmr0__set_r_2172
  4.20      1.99     0.12 21271925     0.00     0.00  caml_apply3
  3.50      2.09     0.10 14346182     0.00     0.00  camlVmr0__get_r_2168
  3.15      2.18     0.09                             caml_initialize
  2.45      2.25     0.07  6134229     0.00     0.00  camlVmr0__fun_5051
  2.10      2.31     0.06  4056507     0.00     0.00  camlArray__mapi_1279
  2.10      2.37     0.06  1879847     0.00     0.00  camlArray__map_1261
  2.10      2.43     0.06     1345     0.00     0.00  caml_empty_minor_heap
  1.75      2.48     0.05  8805893     0.00     0.00  caml_alloc_small
  1.75      2.53     0.05                             caml_alloc_custom_table
  1.40      2.57     0.04  8014075     0.00     0.00  camlVmr0__set_ptn_2510
  1.40      2.61     0.04  2869239     0.00     0.00  camlArray__init_1217
  1.05      2.64     0.03  6005495     0.00     0.00  caml_page_table_lookup
  1.05      2.67     0.03   791514     0.00     0.00  camlList__fold_left_1286
  0.70      2.69     0.02  8805867     0.00     0.00  caml_alloc_small_with_my_or_given_profinfo
  0.70      2.71     0.02  2869236     0.00     0.00  camlVmr0__set_rs_2437
  0.70      2.73     0.02                             caml_c_call
  0.35      2.74     0.01  5243772     0.00     0.00  camlVmr0__fun_5083
  0.35      2.75     0.01  4155447     0.00     0.00  camlVmr0__fun_5120
  0.35      2.76     0.01  2374540     0.00     0.00  camlVmr0__get_idx_2545
  0.35      2.77     0.01   791514     0.00     0.00  camlStack__push_1215
  0.35      2.78     0.01   791514     0.00     0.00  camlVmr0__fun_5133
  0.35      2.79     0.01     1345     0.00     0.00  caml_oldify_local_roots
  0.35      2.80     0.01      822     0.00     0.00  sweep_slice
  0.35      2.81     0.01      441     0.00     0.00  mark_slice
  0.35      2.82     0.01                             camlArray__fill_1299
  0.35      2.83     0.01                             camlVmr0__fun_5126
  0.35      2.84     0.01                             caml_allocN
  0.35      2.85     0.01                             caml_call_gc
  0.17      2.85     0.01  1583028     0.00     0.00  camlVmr0__free_v_2176
  0.17      2.86     0.01                             camlVmr0__add_r_2463
  0.17      2.86     0.01                             camlVmr0__fun_4969
  0.00      2.86     0.00  6134229     0.00     0.00  camlVmr0__fun_5300
  0.00      2.86     0.00  1583028     0.00     0.00  camlVmr0__fun_5179
  0.00      2.86     0.00   791514     0.00     0.00  camlStack__pop_1218
  0.00      2.86     0.00   791514     0.00     0.00  camlVmr0__set_v_2454
  0.00      2.86     0.00   340463     0.00     0.00  allocate_block
  0.00      2.86     0.00   340463     0.00     0.00  caml_fl_allocate
  0.00      2.86     0.00   340462     0.00     0.00  caml_alloc_shr
  0.00      2.86     0.00   336692     0.00     0.00  caml_darken
  0.00      2.86     0.00   332669     0.00     0.00  caml_fl_merge_block
  0.00      2.86     0.00    27558     0.00     0.00  invert_pointer_at
  0.00      2.86     0.00    15830     0.00     0.00  caml_gc_message
  0.00      2.86     0.00     9724     0.00     0.00  compact_allocate
  0.00      2.86     0.00     7664     0.00     0.00  invert_root
  0.00      2.86     0.00     2697     0.00     0.00  caml_page_table_modify
  0.00      2.86     0.00     2688     0.00     0.00  caml_gc_dispatch
  0.00      2.86     0.00     2532     0.00     0.00  caml_process_pending_signals
  0.00      2.86     0.00     2498     0.00     0.00  caml_garbage_collection
  0.00      2.86     0.00     1427     0.00     0.00  caml_major_collection_slice
  0.00      2.86     0.00     1345     0.00     0.00  caml_final_empty_young
  0.00      2.86     0.00     1345     0.00     0.00  caml_final_oldify_young_roots
  0.00      2.86     0.00     1345     0.00     0.00  caml_final_update_minor_roots
  0.00      2.86     0.00     1345     0.00     0.00  caml_oldify_mopup
  0.00      2.86     0.00     1345     0.00     0.00  caml_scan_global_young_roots
  0.00      2.86     0.00     1344     0.00     0.00  caml_final_do_calls
  0.00      2.86     0.00      479     0.00     0.00  writeblock
  0.00      2.86     0.00      433     0.00     0.00  caml_blit_bytes
  0.00      2.86     0.00      380     0.00     0.00  caml_alloc_string
  0.00      2.86     0.00      351     0.00     0.00  caml_create_bytes
  0.00      2.86     0.00      289     0.00     0.00  camlChar__chr_1206
  0.00      2.86     0.00      256     0.00     0.00  camlBytes__sub_1234
  0.00      2.86     0.00      256     0.00     0.00  camlChar__lowercase_1217
  0.00      2.86     0.00      176     0.00     0.00  caml_blit_string
  0.00      2.86     0.00      172     0.00     0.00  caml_darken_all_roots_slice
  0.00      2.86     0.00      168     0.00     0.00  generic_final_update
  0.00      2.86     0.00      110     0.00     0.00  caml_stat_alloc
  0.00      2.86     0.00       88     0.00     0.00  camlPervasives__$5e_1117
  0.00      2.86     0.00       87     0.00     0.00  caml_fl_init_merge
  0.00      2.86     0.00       86     0.00     0.00  caml_do_local_roots
  0.00      2.86     0.00       86     0.00     0.00  caml_do_roots
  0.00      2.86     0.00       86     0.00     0.00  caml_final_do_roots
  0.00      2.86     0.00       86     0.00     0.00  caml_scan_global_roots
  0.00      2.86     0.00       84     0.00     0.00  caml_darken_all_roots_start
  0.00      2.86     0.00       84     0.00     0.00  caml_final_update_clean_phase
  0.00      2.86     0.00       84     0.00     0.00  caml_final_update_mark_phase
