Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00    39752     0.00     0.00  _fini
  0.00      0.00     0.00    20918     0.00     0.00  camlBatInnerWeaktbl__add_1535
  0.00      0.00     0.00    20686     0.00     0.00  camlBatPrintf__parse_1354
  0.00      0.00     0.00     5304     0.00     0.00  camlGc__print_stat_1256
  0.00      0.00     0.00     2380     0.00     0.00  camlBatInnerWeaktbl__all_value_1450
  0.00      0.00     0.00     1392     0.00     0.00  camlBatBitSet__count_1478
  0.00      0.00     0.00     1007     0.00     0.00  camlBatPrintf__pr_1652
  0.00      0.00     0.00      717     0.00     0.00  camlBatMap__loop_1915
  0.00      0.00     0.00      484     0.00     0.00  camlBatPrintf__sub_fmt_1419
  0.00      0.00     0.00      464     0.00     0.00  camlBatPrintf__incomplete_format_1350
  0.00      0.00     0.00      405     0.00     0.00  camlBatString__entry
  0.00      0.00     0.00      289     0.00     0.00  camlWeak__next_sz_1388
  0.00      0.00     0.00      282     0.00     0.00  camlWeak__resize_1402
  0.00      0.00     0.00      256     0.00     0.00  camlWeak__test_shrink_bucket_1392
  0.00      0.00     0.00      228     0.00     0.00  test_and_compact
  0.00      0.00     0.00      224     0.00     0.00  camlGc__create_alarm_1296
  0.00      0.00     0.00      207     0.00     0.00  camlBatPrintf__fill_format_1397
  0.00      0.00     0.00      190     0.00     0.00  camlHashtbl__find_in_bucket_1449
  0.00      0.00     0.00      189     0.00     0.00  caml_load_plugin
  0.00      0.00     0.00      182     0.00     0.00  camlBatInt__fun_3190
  0.00      0.00     0.00      142     0.00     0.00  camlBatPrintf__to_string_1340
  0.00      0.00     0.00      136     0.00     0.00  camlDigest__file_1221
  0.00      0.00     0.00      136     0.00     0.00  caml_gc_stat
  0.00      0.00     0.00      136     0.00     0.00  caml_sys_get_argv
  0.00      0.00     0.00      135     0.00     0.00  camlBatMap__create_4090
  0.00      0.00     0.00      129     0.00     0.00  camlBatInt__pow_1769
  0.00      0.00     0.00      114     0.00     0.00  camlBatPrintf__extract_format_int_1404
  0.00      0.00     0.00       98     0.00     0.00  camlBatBitSet__fun_1994
  0.00      0.00     0.00       95     0.00     0.00  bng_generic_square_add
  0.00      0.00     0.00       95     0.00     0.00  camlBatInt__entry
  0.00      0.00     0.00       85     0.00     0.00  camlBatMap__make_1543
  0.00      0.00     0.00       77     0.00     0.00  camlBatMap__print_1728
  0.00      0.00     0.00       77     0.00     0.00  camlBatMap__values_4149
  0.00      0.00     0.00       77     0.00     0.00  camlDigest__entry
  0.00      0.00     0.00       77     0.00     0.00  camlRandom__assign_1212
  0.00      0.00     0.00       73     0.00     0.00  caml_parse_engine
  0.00      0.00     0.00       68     0.00     0.00  caml_sys_random_seed
  0.00      0.00     0.00       64     0.00     0.00  camlBatBitSet__mk_1484
  0.00      0.00     0.00       61     0.00     0.00  camlCamlinternalOO__method_impl_1762
  0.00      0.00     0.00       59     0.00     0.00  camlBatBuffer__entry
  0.00      0.00     0.00       57     0.00     0.00  camlBatInt__print_1811
  0.00      0.00     0.00       56     0.00     0.00  camlBatBitSet__mem_1357
  0.00      0.00     0.00       55     0.00     0.00  camlBatString__edit_distance_2029
  0.00      0.00     0.00       54     0.00     0.00  camlBatMap__for_all_1871
  0.00      0.00     0.00       53     0.00     0.00  camlBatMap__clone_1715
  0.00      0.00     0.00       51     0.00     0.00  camlBatMap__enum_next_1516
  0.00      0.00     0.00       51     0.00     0.00  camlBatMap__fun_5994
  0.00      0.00     0.00       46     0.00     0.00  camlHashtbl__find_opt_1434
  0.00      0.00     0.00       46     0.00     0.00  camlHashtbl__remove_1406
  0.00      0.00     0.00       42     0.00     0.00  camlBatInnerShuffle__array_shuffle_1204
  0.00      0.00     0.00       42     0.00     0.00  camlBatMap__loop_1883
  0.00      0.00     0.00       38     0.00     0.00  camlBatFloat__entry
  0.00      0.00     0.00       37     0.00     0.00  camlBatMap__loop_1963
  0.00      0.00     0.00       36     0.00     0.00  camlBatPrintf__scan_conv_1438
  0.00      0.00     0.00       35     0.00     0.00  camlBatMap__loop_1893
  0.00      0.00     0.00       35     0.00     0.00  caml_cplugins_load
  0.00      0.00     0.00       34     0.00     0.00  camlBatBitSet__create__1320
  0.00      0.00     0.00       33     0.00     0.00  camlBatInt32__unpack_1602
  0.00      0.00     0.00       32     0.00     0.00  camlPrintexc__entry
  0.00      0.00     0.00       30     0.00     0.00  camlCamlinternalOO__app_var_const_1672
  0.00      0.00     0.00       30     0.00     0.00  camlHashtbl__resize_1368
  0.00      0.00     0.00       27     0.00     0.00  camlBatMap__loop_1874
  0.00      0.00     0.00       25     0.00     0.00  camlBatInt__fun_3234
  0.00      0.00     0.00       22     0.00     0.00  camlBatInt32__pack_big_1595
  0.00      0.00     0.00       21     0.00     0.00  camlBatMap__filterv_1849
  0.00      0.00     0.00       21     0.00     0.00  camlBatMap__fun_6014
  0.00      0.00     0.00       18     0.00     0.00  camlBatMap__cons_iter_1502
  0.00      0.00     0.00       18     0.00     0.00  camlCamlinternalOO__fun_2349
  0.00      0.00     0.00       18     0.00     0.00  camlCamlinternalOO__send_meth_1727
  0.00      0.00     0.00       15     0.00     0.00  camlBatEnum__next_1752
  0.00      0.00     0.00       15     0.00     0.00  camlBatEnum__switch_1570
  0.00      0.00     0.00       14     0.00     0.00  camlBatEnum__init_1297
  0.00      0.00     0.00       14     0.00     0.00  camlBatMap__loop_1948
  0.00      0.00     0.00       14     0.00     0.00  core_unix_getifaddrs
  0.00      0.00     0.00       13     0.00     0.00  camlBatMap__max_binding_1266
  0.00      0.00     0.00       12     0.00     0.00  camlBatMap__enum_backwards_next_1526
  0.00      0.00     0.00       12     0.00     0.00  camlBatMap__of_enum_inner_6380
  0.00      0.00     0.00       11     0.00     0.00  camlBatPrintf__kapr_1499
  0.00      0.00     0.00       11     0.00     0.00  camlCamlinternalOO__app_const_1640
  0.00      0.00     0.00       10     0.00     0.00  camlBatBitSet__add_1363
  0.00      0.00     0.00        9     0.00     0.00  camlBatMap__loop_2014
  0.00      0.00     0.00        8     0.00     0.00  camlBatMap__aux_1535
  0.00      0.00     0.00        8     0.00     0.00  camlBatMap__mapi_1389
  0.00      0.00     0.00        8     0.00     0.00  camlBatMap__modify_1927
  0.00      0.00     0.00        8     0.00     0.00  camlBatPrintf__get_1329
  0.00      0.00     0.00        7     0.00     0.00  camlBatInt__fun_3214
  0.00      0.00     0.00        7     0.00     0.00  camlBatMap__at_rank_exn_1425
  0.00      0.00     0.00        7     0.00     0.00  camlBatMap__rev_cons_iter_1509
  0.00      0.00     0.00        6     0.00     0.00  camlBatInt__fun_3222
  0.00      0.00     0.00        6     0.00     0.00  camlBatPrintf__scan_flags_1608
  0.00      0.00     0.00        6     0.00     0.00  caml_obj_dup
  0.00      0.00     0.00        5     0.00     0.00  camlBatEnum__entry
  0.00      0.00     0.00        5     0.00     0.00  caml_sys_system_command
  0.00      0.00     0.00        4     0.00     0.00  camlBatInnerIO__read_line_1779
  0.00      0.00     0.00        4     0.00     0.00  camlBatMap__loop_1392
  0.00      0.00     0.00        4     0.00     0.00  camlCamlinternalOO__fun_2257
  0.00      0.00     0.00        4     0.00     0.00  camlCamlinternalOO__set_var_1636
  0.00      0.00     0.00        4     0.00     0.00  camlHashtbl__find_1416
  0.00      0.00     0.00        3     0.00     0.00  camlBatInnerIO__read_i32_1797
  0.00      0.00     0.00        3     0.00     0.00  camlBatInnerIO__write_i64_1849
  0.00      0.00     0.00        3     0.00     0.00  camlBatMap__loop_1979
  0.00      0.00     0.00        3     0.00     0.00  camlBatMap__values_1719
  0.00      0.00     0.00        3     0.00     0.00  camlBatString__fun_3296
  0.00      0.00     0.00        3     0.00     0.00  camlCamlinternalOO__app_meth_1653
  0.00      0.00     0.00        3     0.00     0.00  camlWeak__loop_1399
  0.00      0.00     0.00        3     0.00     0.00  caml_MD5Transform
  0.00      0.00     0.00        3     0.00     0.00  caml_callbackN
  0.00      0.00     0.00        3     0.00     0.00  caml_fatal_uncaught_exception
  0.00      0.00     0.00        3     0.00     0.00  caml_format_exception
  0.00      0.00     0.00        3     0.00     0.00  caml_register_named_value
  0.00      0.00     0.00        3     0.00     0.00  core_getpwent
  0.00      0.00     0.00        3     0.00     0.00  core_unix_flock
  0.00      0.00     0.00        2     0.00     0.00  camlBatEnum__from_1283
  0.00      0.00     0.00        2     0.00     0.00  camlBatEnum__fun_3791
  0.00      0.00     0.00        2     0.00     0.00  camlBatEnum__span_1626
  0.00      0.00     0.00        2     0.00     0.00  camlBatInnerIO__fun_2479
