Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 43.75      0.14     0.14      769     0.18     0.19  caml_oldify_local_roots
 37.50      0.26     0.12   451836     0.00     0.00  caml_page_table_modify
  6.25      0.28     0.02    73916     0.00     0.00  caml_alloc_shr
  3.13      0.29     0.01   314828     0.00     0.00  caml_page_table_lookup
  3.13      0.30     0.01    23164     0.00     0.00  camlPervasives__$5e_1117
  3.13      0.31     0.01     8762     0.00     0.00  caml_gc_message
  3.13      0.32     0.01      723     0.01     0.01  sweep_slice
  0.00      0.32     0.00   208546     0.00     0.00  caml_darken
  0.00      0.32     0.00   103622     0.00     0.00  caml_modify
  0.00      0.32     0.00    73960     0.00     0.00  caml_fl_allocate
  0.00      0.32     0.00    73916     0.00     0.00  allocate_block
  0.00      0.32     0.00    61600     0.00     0.00  caml_blit_bytes
  0.00      0.32     0.00    50991     0.00     0.00  camlLexing__engine_1237
  0.00      0.32     0.00    50991     0.00     0.00  caml_lex_engine
  0.00      0.32     0.00    50015     0.00     0.00  caml_alloc_string
  0.00      0.32     0.00    50001     0.00     0.00  caml_create_bytes
  0.00      0.32     0.00    46328     0.00     0.00  caml_blit_string
  0.00      0.32     0.00    34485     0.00     0.00  caml_oldify_one
  0.00      0.32     0.00    27587     0.00     0.00  camlImp_lexer____ocaml_lex_token_rec_1214
  0.00      0.32     0.00    27585     0.00     0.00  camlImp_lexer__token_1213
  0.00      0.32     0.00    27585     0.00     0.00  camlImp_parser___menhir_discard_3238
  0.00      0.32     0.00    15270     0.00     0.00  camlBytes__sub_1234
  0.00      0.32     0.00    11020     0.00     0.00  camlPervasives__input_line_1274
  0.00      0.32     0.00    11020     0.00     0.00  camlPervasives__scan_1283
  0.00      0.32     0.00    11020     0.00     0.00  caml_input_scan_line
  0.00      0.32     0.00    11020     0.00     0.00  caml_ml_input_scan_line
  0.00      0.32     0.00    11019     0.00     0.00  caml_ml_input
  0.00      0.32     0.00    11019     0.00     0.00  caml_ml_input_char
  0.00      0.32     0.00    10914     0.00     0.02  caml_check_urgent_gc
  0.00      0.32     0.00     8008     0.00     0.00  caml_array_length
  0.00      0.32     0.00     6407     0.00     0.00  caml_alloc_small
  0.00      0.32     0.00     6128     0.00     0.00  camlImp_parser___menhir_goto_reg_ptn_3112
  0.00      0.32     0.00     5842     0.00     0.00  camlArray__append_1232
  0.00      0.32     0.00     5842     0.00     0.00  caml_array_gather
  0.00      0.32     0.00     5459     0.00     0.00  camlImp_parser___menhir_goto_reg_3145
  0.00      0.32     0.00     5457     0.00     0.00  camlImp_parser___menhir_run48_3191
  0.00      0.32     0.00     4348     0.00     0.00  camlImp_parser___menhir_goto_reg_ptn_src_3130
  0.00      0.32     0.00     4004     0.00     0.00  caml_array_append
  0.00      0.32     0.00     3960     0.00     0.00  camlScanf__next_1378
  0.00      0.32     0.00     3114     0.00     0.00  camlImp_parser___menhir_goto_reg_src_3131
  0.00      0.32     0.00     3107     0.00     0.00  camlScanf__check_next_char_1674
  0.00      0.32     0.00     3079     0.00     0.00  camlImp_parser___menhir_run89_3174
  0.00      0.32     0.00     3029     0.00     0.00  caml_request_major_slice
  0.00      0.32     0.00     2824     0.00     0.00  camlImp_parser___menhir_goto_name_3217
  0.00      0.32     0.00     2200     0.00     0.00  camlImp_parser___menhir_run6_3237
  0.00      0.32     0.00     1875     0.00     0.00  camlImp_parser___menhir_goto_ir_line_3109
  0.00      0.32     0.00     1838     0.00     0.00  caml_array_sub
  0.00      0.32     0.00     1767     0.00     0.00  camlImp_parser___menhir_reduce141_3218
  0.00      0.32     0.00     1535     0.00     0.00  camlUtil__ini_1504
  0.00      0.32     0.00     1279     0.00     0.00  camlImp_parser___menhir_goto_reg_ptn_lst_src_3115
  0.00      0.32     0.00     1279     0.00     0.00  camlImp_parser___menhir_goto_reg_ptn_op_src_3108
  0.00      0.32     0.00     1134     0.00     0.00  camlImp_parser___menhir_run92_3175
